numHullPoints,numDefects,bbox_width,bbox_height,aspect_ratio,area,perimeter,gesture_label
22,16,118,329,0.358663,18393,993.411,number_1
21,15,118,328,0.359756,18361.5,991.169,number_1
22,16,118,329,0.358663,18448,995.068,number_1
17,12,118,307,0.384365,17956.5,922.139,number_1
23,17,115,274,0.419708,16322.5,718.115,number_1
19,14,114,270,0.422222,16686.5,857.311,number_1
21,15,113,271,0.416974,16260.5,871.796,number_1
19,16,112,270,0.414815,16065.5,868.139,number_1
18,14,113,268,0.421642,15501.5,732.801,number_1
18,15,112,268,0.41791,15444,735.186,number_1
17,13,112,267,0.419476,15449,731.872,number_1
16,10,112,267,0.419476,15403,730.215,number_1
17,13,113,267,0.423221,15405.5,740.115,number_1
18,13,113,267,0.423221,15413.5,736.6,number_1
18,14,113,267,0.423221,15404,731.186,number_1
19,14,113,267,0.423221,15394.5,735.772,number_1
21,17,114,267,0.426966,15404.5,730.943,number_1
19,14,114,267,0.426966,15409,732.701,number_1
20,16,113,267,0.423221,15416.5,730.458,number_1
